driver_id,total_fare,avg_distance
7,449.84,21.057499999999997
51,97.01,16.97
15,53.81,50.0
69,93.72,45.53
64,8.63,11.1
3,61.74,24.66
59,79.65,12.92
85,57.58,11.56
16,107.53,24.115000000000002
71,16.51,32.75
98,52.13,36.51
47,105.4,2.12
18,89.86,39.035
70,54.51,5.19
61,303.36,15.069999999999999
46,148.32,7.48
78,14.64,9.53
89,60.96,26.56
6,146.02,37.04
90,232.07999999999998,22.256666666666664
19,83.33,29.31
41,190.38,20.795
55,140.33,29.725
93,39.74,32.91
44,103.8,41.04
82,127.2,16.39
53,93.51,9.09
92,145.25,40.03
86,123.09,47.67
58,50.48,12.14
81,89.49,1.35
33,58.91,39.11
97,121.05,46.51
32,137.48,23.725
88,81.8,45.19
36,202.58999999999997,35.315
10,106.01,33.78
49,127.68,7.57
63,137.1,36.07
4,39.37,36.03
39,81.75,43.98
12,39.03,44.5
83,135.48,36.9
13,38.21,35.11
14,139.24,9.39
21,98.36,46.63
72,114.03,14.65
76,103.16,24.89
50,104.48,12.26
57,114.27,22.03
