driver_id,total_fare,avg_distance
51,30.69,7.85
7,135.52,36.51
54,134.17000000000002,13.299999999999999
69,135.14,43.05
42,144.5,49.63
87,108.9,6.63
73,62.089999999999996,43.07
30,20.1,44.5
85,73.47999999999999,30.970000000000002
16,114.28,40.38
71,21.32,8.43
47,125.24,47.86
96,203.01,33.2175
43,110.75,26.37
5,21.82,21.09
31,129.75,19.06
18,139.75,14.7
27,183.57,23.385
75,145.52,29.49
17,8.5,39.94
26,14.95,43.6
77,40.83,25.65
6,31.77,14.77
60,133.35,9.72
68,128.98,3.54
90,39.93,48.05
55,83.98,27.56
95,53.39,23.3
40,25.17,3.78
38,172.45,30.103333333333328
25,84.32,47.325
82,107.69,32.97
58,94.36999999999999,21.345
81,217.79,23.18
48,81.59,2.0
97,6.34,27.72
67,174.72,13.51
84,84.52,23.43
79,67.28999999999999,33.265
20,6.92,45.45
37,88.05,32.67
63,31.93,42.62
65,33.04,37.0
4,65.91,5.0
39,161.0,41.41
62,87.63,39.28
12,155.51,28.415
13,138.05,30.0
14,120.54,43.15
66,10.51,46.9
91,272.5,19.95
72,13.1,36.5
74,30.2,12.99
76,154.65,25.44
2,129.25,39.58
80,192.99,22.25
57,69.76,19.72
