driver_id,total_fare,avg_distance
7,572.29,27.049999999999994
51,505.64,19.618333333333336
15,275.52,35.5125
54,485.34,31.385
11,527.63,30.212857142857143
29,555.8,21.588333333333335
69,221.07999999999998,30.796666666666667
42,511.92999999999995,27.351666666666663
87,333.89,15.272499999999999
73,407.41999999999996,33.8175
64,57.400000000000006,26.135
3,460.06000000000006,25.266250000000003
30,629.9900000000001,25.727777777777774
34,224.48999999999998,19.993333333333336
59,452.36,29.657142857142855
8,239.73,35.21666666666666
22,245.15,26.80666666666667
28,743.1500000000001,23.362500000000004
85,88.63,27.215
16,218.5,23.560000000000002
35,139.62,9.316666666666666
52,340.34999999999997,20.323333333333334
71,156.54,21.59
98,517.65,29.393333333333334
47,321.55,18.6425
99,240.29,24.825000000000003
43,715.7500000000001,24.811999999999998
5,144.01,25.506666666666664
31,133.56,33.650000000000006
100,402.6,24.3125
18,559.49,27.42875
70,824.21,25.223333333333333
61,685.26,24.468
27,348.26,27.794999999999998
75,510.7099999999999,23.445
17,302.82000000000005,28.649999999999995
26,630.13,23.288749999999997
46,1152.55,28.247500000000002
78,448.42,30.412499999999998
77,243.32999999999998,30.336666666666662
89,396.66,36.05166666666667
6,583.5999999999999,26.677142857142854
60,212.95000000000002,23.212
68,260.69,12.979999999999999
90,452.39,14.535999999999998
19,338.55,14.684999999999999
23,359.15,23.255714285714284
41,408.53,22.675
55,247.53000000000003,27.75666666666667
93,247.43,27.277499999999996
95,344.82,21.84
40,360.43,24.701666666666668
38,536.45,22.185000000000002
25,103.75999999999999,28.417499999999997
44,215.81,39.25
82,430.78000000000003,19.19
53,182.67000000000002,21.343333333333334
92,145.25,40.03
86,515.29,27.4625
58,142.1,22.095
81,493.64,19.456666666666667
33,341.78999999999996,28.972
48,132.96,20.21
97,297.25,36.655
67,399.17999999999995,23.625
84,203.44,16.143333333333334
79,299.44,40.01
9,233.47000000000003,34.5
24,80.06,29.415
32,661.4699999999999,22.1775
88,723.0699999999999,25.635
1,27.650000000000002,20.7
20,331.37,35.597500000000004
56,447.0799999999999,26.535
36,325.35999999999996,30.007499999999997
10,440.17,22.2725
37,242.05,19.14
49,360.69,23.05
63,846.12,26.54333333333333
65,116.13,24.325
4,145.06,37.21666666666667
39,477.91,25.285
62,549.82,34.75
12,470.78999999999996,34.160000000000004
83,407.78,22.444
13,453.1700000000001,24.087500000000002
14,250.85000000000002,25.112499999999997
21,333.65,25.040000000000003
66,139.05,18.509999999999998
91,332.67,29.72666666666667
94,359.44,19.1625
72,625.24,21.868571428571432
74,269.95,32.0575
76,666.9899999999999,18.986363636363635
2,241.57,15.99
80,499.49,25.448333333333327
50,418.97999999999996,17.646666666666665
45,26.6,40.97
57,519.25,16.738750000000003
