driver_id,total_fare,avg_distance
54,97.62,6.45
42,144.5,49.63
87,108.9,6.63
73,62.089999999999996,43.07
85,73.47999999999999,30.970000000000002
16,114.28,40.38
96,187.97,30.613333333333333
5,21.82,21.09
31,129.75,19.06
18,139.75,14.7
27,183.57,23.385
75,145.52,29.49
17,8.5,39.94
77,40.83,25.65
60,133.35,9.72
95,53.39,23.3
40,25.17,3.78
38,136.63,32.41
25,48.94,48.47
82,107.69,32.97
58,94.36999999999999,21.345
81,217.79,23.18
48,81.59,2.0
97,6.34,27.72
67,42.0,6.0
84,84.52,23.43
79,52.87,23.96
20,6.92,45.45
37,88.05,32.67
39,161.0,41.41
62,87.63,39.28
12,62.78,26.96
14,120.54,43.15
91,141.57,28.945
76,67.37,21.94
2,129.25,39.58
80,192.99,22.25
57,69.76,19.72
