driver_id,total_fare,avg_distance
7,516.38,23.58
51,224.11,18.005
15,53.81,50.0
11,47.24,46.84
29,114.6,38.62
69,93.72,45.53
64,8.63,11.1
3,263.48,32.51
30,12.07,17.14
34,174.01,25.525000000000002
59,149.45,19.31
85,57.58,11.56
16,107.53,24.115000000000002
71,16.51,32.75
98,52.13,36.51
47,105.4,2.12
18,89.86,39.035
70,54.51,5.19
61,337.79,13.214999999999998
27,123.88,29.06
75,191.82999999999998,41.11
26,84.48,10.23
46,148.32,7.48
78,22.67,28.285
89,118.50999999999999,30.125
6,290.65,27.740000000000002
60,56.54,33.413333333333334
90,232.07999999999998,22.256666666666664
19,83.33,29.31
23,36.85,42.62
41,247.70999999999998,24.33666666666667
55,247.53000000000003,27.75666666666667
93,127.28,21.604999999999997
44,103.8,41.04
82,127.2,16.39
53,93.51,9.09
92,145.25,40.03
86,123.09,47.67
58,50.48,12.14
81,89.49,1.35
33,58.91,39.11
97,121.05,46.51
9,66.14,26.25
32,137.48,23.725
88,81.8,45.19
20,100.88,48.1
56,256.40999999999997,34.223333333333336
36,202.58999999999997,35.315
10,106.01,33.78
37,145.87,20.73
49,264.76,23.135
63,137.1,36.07
4,39.37,36.03
39,81.75,43.98
12,39.03,44.5
83,135.48,36.9
13,38.21,35.11
14,139.24,9.39
21,117.15,46.295
91,107.88,2.02
94,136.46,24.26
72,114.03,14.65
74,18.31,15.65
76,167.2,33.504999999999995
2,75.63,10.7
80,57.03,33.4
50,104.48,12.26
57,228.28,21.623333333333335
