driver_id,total_fare,avg_distance
7,449.84,21.057499999999997
51,97.01,16.97
15,53.81,50.0
64,8.63,11.1
3,61.74,24.66
59,79.65,12.92
85,57.58,11.56
16,107.53,24.115000000000002
71,16.51,32.75
98,52.13,36.51
18,39.07,38.16
70,54.51,5.19
61,192.13,19.205
46,148.32,7.48
78,14.64,9.53
6,146.02,37.04
90,232.07999999999998,22.256666666666664
41,190.38,20.795
55,140.33,29.725
93,39.74,32.91
44,103.8,41.04
53,93.51,9.09
92,145.25,40.03
86,123.09,47.67
58,50.48,12.14
81,89.49,1.35
33,58.91,39.11
97,121.05,46.51
32,105.46,29.64
36,107.82,40.22
10,106.01,33.78
49,127.68,7.57
63,137.1,36.07
39,81.75,43.98
83,135.48,36.9
13,38.21,35.11
14,139.24,9.39
21,98.36,46.63
72,114.03,14.65
50,104.48,12.26
57,114.27,22.03
